id,category,question,reference_answer,expected_behavior,kg_accuracy,rag_accuracy,notes
1,Level 3: Hard,Liệt kê các môn học thuộc khoa GDTC có tổng số tín chỉ lớn hơn 3.,Không có môn nào thỏa mãn.,Multi-condition KG query.,,,
2,Level 4: Super Hard,So sánh sự khác biệt về mục tiêu và nội dung giữa môn SE214 và môn PE002.,"Môn SE214: Học phần này trình bày các kiến thức chuyên sâu về các phương pháp, qui trình phát triển phần mềm mới, tiên tiến như RUP, Agile, XP, Scrum. Trang bị các kiến thức chuyên sâu về đặc tả và cộng nghệ... VS Môn PE002: Chương trình môn học giáo dục thể chất (GDTC) nhằm trang bị kiến thức, kỹ năng vận động cơ bản, hình thành thói quen tập luyện thể dục thể thao (TDTT) để nâng cao sức khỏe, phát triển thể lực, tầm vóc...",Cross-document semantic reasoning (RAG).,,,
3,Level 4: Super Hard,Tìm các môn thuộc khoa MMT&TT có đề cập đến 'framework' trong mô tả và yêu cầu ít nhất một môn tiên quyết.,"Môn NT213 là một ví dụ (Khoa: MMT&TT, Mô tả: Môn học này cung cấp kiến thức tổng quan về hack ứng dụng Web. Bên cạnh đó, sinh viên sẽ nắm bắt được các kỹ thuật bảo mật như: thu thập thông tin, xác nhận đầu vào tại server side, bảo mật cho client-side framework. Ngoài ra, môn học cũng cung cấp kiến thức về Malware trên nền web)",Hybrid KG + RAG query.,,,
4,Level 2: Medium,"Để học môn DS302, sinh viên cần hoàn thành môn tiên quyết nào?",MA005,Single-hop relationship. KG is preferred.,,,
5,Level 4: Super Hard,"Để học môn JAN07, tôi cần phải hoàn thành lộ trình các môn học nào từ trước (liệt kê tất cả các môn tiên quyết liên quan)?","JAN04, JAN02, JAN06, JAN03, JAN05, JAN01",Full graph traversal (Prerequisite Tree).,,,
6,Level 4: Super Hard,So sánh sự khác biệt về mục tiêu và nội dung giữa môn NT215 và môn IE101.,"Môn NT215: Trong chương trình thực tập cuối khóa sinh viên phải đến thực tập tại các công ty, đơn vị sự nghiệp trong lĩnh vực để làm quen với môi trường thực tế của nghề nghiệp; nắm bắt các công việc; học hỏi ki... VS Môn IE101: Môn học cung cấp một cái nhìn tổng quan về ngành Công nghệ Thông tin, các chủ đề phổ biến trong CNTT. Môn học mô tả mối quan hệ giữa CNTT với các ngành liên quan, môn học có tính khai tâm và giúp sinh...",Cross-document semantic reasoning (RAG).,,,
7,Level 2: Medium,Môn ENG04 có môn học nào tương đương không?,INT005,Single-hop relationship. KG is preferred.,,,
8,Level 3: Hard,Tóm tắt nội dung chính của môn Tự động hóa thiết kế vi mạch.,Tự động hóa thiết kế vi mạch là môn học chuyên ngành trong hướng nghiên cứu vi mạch. Nó cung cấp các kiến thức nền tảng trong việc nghiên cứu chuyên sâu về thiết kế vi mạch,RAG summarization.,,,
9,Level 2: Medium,"Để học môn EN001, sinh viên cần hoàn thành môn tiên quyết nào?",ENBT,Single-hop relationship. KG is preferred.,,,
10,Level 2: Medium,"Để học môn EN002, sinh viên cần hoàn thành môn tiên quyết nào?",EN001,Single-hop relationship. KG is preferred.,,,
11,Level 1: Simple,Mã môn học của môn An ninh mạng là gì?,CS4344,Direct attribute lookup. Both systems should perform well.,,,
12,Level 1: Simple,Mã môn học của môn Lập trình hệ thống với Java là gì?,CE315,Direct attribute lookup. Both systems should perform well.,,,
13,Level 1: Simple,Mã môn học của môn Xử lý dữ liệu lớn là gì?,IE218,Direct attribute lookup. Both systems should perform well.,,,
14,Level 2: Medium,"Để học môn JAN04, sinh viên cần hoàn thành môn tiên quyết nào?",JAN03,Single-hop relationship. KG is preferred.,,,
15,Level 3: Hard,Tóm tắt nội dung chính của môn Thiết kế giao diện người dùng.,"Môn học này cung cấp các kiến thức cơ bản như: vấn đề khả dụng của các hệ thống tương tác, các nguyên tắc quan trọng của thiết kế giao diện người dùng, quá trình thiết kế giao diện, đánh giá thiết kế giao diện; bên cạnh việc giới thiệu một số dạng kỹ thuật thiết kế liên quan đến thực đơn, form fill-in, hộp hội thoại, tài liệu người dùng, giao diện tìm kiếm, mối liên hệ giữa giao diện người dùng với trực quan thông tin; cũng như giới thiệu sơ về các mảng công nghệ mới.",RAG summarization.,,,
16,Level 2: Medium,"Để học môn JAN05, sinh viên cần hoàn thành môn tiên quyết nào?",JAN04,Single-hop relationship. KG is preferred.,,,
17,Level 1: Simple,Môn ENG01 thuộc khoa nào quản lý?,TTNN,Direct attribute lookup. Both systems should perform well.,,,
18,Level 2: Medium,Môn ADENG3 có môn học nào tương đương không?,ENG05,Single-hop relationship. KG is preferred.,,,
19,Level 4: Super Hard,Tìm các môn thuộc khoa KTMT có đề cập đến 'phương' trong mô tả và yêu cầu ít nhất một môn tiên quyết.,"Môn CE313 là một ví dụ (Khoa: KTMT, Mô tả: Môn học này trình bày các khái niệm và phương pháp xây dựng hệ thống xử lí song song và hệ thống phân bố)",Hybrid KG + RAG query.,,,
20,Level 3: Hard,Môn tiên quyết của môn tiên quyết của môn JAN05 là gì?,"Môn tiên quyết là JAN04, và tiên quyết của JAN04 là JAN03.",2-hop relationship logic.,,,
21,Level 3: Hard,Tóm tắt nội dung chính của môn Mô hình đồ thị xác suất.,Môn học nhằm cung cấp cho sinh viên những kiến thức nền tảng về các mô hình đồ thị xác suất (PGM) và ứng dụng của nó: biểu diễn và suy luận và học trên các mô hình đồ thị xác suất. Các bài toán từ thế giới thực sẽ được biểu diễn thông qua các PGM như thế nào dùng Bayesian Networks dựa trên đồ thị có hướng và Markov Networks dựa trên đồ thị vô hướng. Việc suy diễn dựa trên các mô hình PGM như thế nào và làm thế nào có thể học được các tham số mô hình PGM từ một tập dữ liệu huấn luyện.,RAG summarization.,,,
22,Level 4: Super Hard,"Để học môn JAN05, tôi cần phải hoàn thành lộ trình các môn học nào từ trước (liệt kê tất cả các môn tiên quyết liên quan)?","JAN04, JAN01, JAN02, JAN03",Full graph traversal (Prerequisite Tree).,,,
23,Level 4: Super Hard,"Để học môn EN003, tôi cần phải hoàn thành lộ trình các môn học nào từ trước (liệt kê tất cả các môn tiên quyết liên quan)?","EN002, ENBT, EN001",Full graph traversal (Prerequisite Tree).,,,
24,Level 3: Hard,Môn tiên quyết của môn tiên quyết của môn EN002 là gì?,"Môn tiên quyết là EN001, và tiên quyết của EN001 là ENBT.",2-hop relationship logic.,,,
25,Level 2: Medium,"Để học môn CS410, sinh viên cần hoàn thành môn tiên quyết nào?",IT003,Single-hop relationship. KG is preferred.,,,
26,Level 2: Medium,Môn DS303 có môn học nào tương đương không?,Không có môn tương đương.,Single-hop relationship. KG is preferred.,,,
27,Level 4: Super Hard,"Để học môn JAN06, tôi cần phải hoàn thành lộ trình các môn học nào từ trước (liệt kê tất cả các môn tiên quyết liên quan)?","JAN04, JAN02, JAN03, JAN05, JAN01",Full graph traversal (Prerequisite Tree).,,,
28,Level 3: Hard,Liệt kê các môn học thuộc khoa GDTC có tổng số tín chỉ lớn hơn 3.,Không có môn nào thỏa mãn.,Multi-condition KG query.,,,
29,Level 1: Simple,Môn IS341 thuộc khoa nào quản lý?,HTTT,Direct attribute lookup. Both systems should perform well.,,,
30,Level 4: Super Hard,So sánh sự khác biệt về mục tiêu và nội dung giữa môn SS006 và môn IE403.,"Môn SS006: Môn học nằm trong khối kiến thức đại cương trong chương trình đào tạo. Môn học hướng đến việc trang bị những kiến thức nền tảng về nhà nước và pháp luật cho người học. Qua đó, người học có những kiến ... VS Môn IE403: Môn học này sẽ trình bày các khái niệm cơ bản, các vấn đề đang nổi lên, và các thuật toán để phân tích hiệu quả mạng và khai thác dữ liệu. Chương trình cung cấp các kiến thức về Social Media Mining và...",Cross-document semantic reasoning (RAG).,,,
31,Level 3: Hard,Tóm tắt nội dung chính của môn Đặc tả hình thức.,"Trình bày các kiến trúc, nền tảng về đặc tả hình thức, là một trong các cách tiếp cận xây dựng môn học. Thông qua các ngôn ngữ đặc tả hình thức là ngôn ngữ VDM và ngôn ngữ Z, sinh viên có thể dễ dàng nắm bắt được quy trình và các phương pháp hệ thống riêng biệt từ đặc tả, thiết kế đến thực hiện chương trình. Học phần là sự kết hợp giữa các bài giảng, thuyết trình, bài tập nhỏ, tự nghiên cứu tài liệu và kiểm tra cuối kỳ. Học phần được chia làm 2 phần: phần 1 dẫn nhập và giới thiệu những khái niệm cơ sở của đặc tả hình thức được minh họa bằng ngôn ngữ VDM, phần 2 là giới thiệu về ngôn ngữ đặc tả Z.",RAG summarization.,,,
32,Level 3: Hard,Liệt kê các môn học thuộc khoa TTNN có tổng số tín chỉ lớn hơn 3.,"DBSS1, DSAL1, ENG01, ENG02, ENG03, ENG04, ENG05, ENG06, ENG07",Multi-condition KG query.,,,
33,Level 2: Medium,Môn DS305 có môn học nào tương đương không?,Không có môn tương đương.,Single-hop relationship. KG is preferred.,,,
