id,category,question,reference_answer,expected_behavior,kg_accuracy,rag_accuracy,notes,actual_answer,is_executed
1,Level 3: Hard,Liệt kê các môn học thuộc khoa GDTC có tổng số tín chỉ lớn hơn 3.,Không có môn nào thỏa mãn.,Multi-condition KG query.,,,,"{""data"":""**Kết quả truy vấn**\n\nSau khi kiểm tra toàn bộ dữ liệu hiện có, hệ thống chỉ có một số môn liên quan tới “Giáo dục thể chất” (GDTC):\n\n| Mã môn | Tên môn | Khoa | Tín chỉ (LT + TH) |\n|--------|----------|------|-------------------|\n| PE012 | Giáo dục thể chất | N/A | 0 |\n| PE001 | Giáo dục thể chất 1 | N/A | 0 |\n\nCác môn còn lại (HCMT2, TLH085, CS010) không thuộc khoa GDTC.\n\n**Phân tích**\n\n- **Tiêu chí “tổng số tín chỉ > 3”**: không có môn nào trong danh sách trên đáp ứng được yêu cầu, vì cả hai môn GDTC đều có tổng tín chỉ bằng 0.\n- **Khoa “GDTC”**: trong dữ liệu hiện thời, trường “Khoa” của các môn đều được ghi là “N/A”, nên không thể khẳng định một môn nào thuộc khoa GDTC dựa trên thông tin này.\n\n**Kết luận**\n\nHiện tại, **không có môn học nào thuộc khoa GDTC mà tổng số tín chỉ lớn hơn 3** trong dữ liệu mà hệ thống đang quản lý. Nếu có thêm dữ liệu về các môn thuộc khoa GDTC hoặc thông tin chi tiết về tín chỉ, bạn có thể cung cấp để chúng tôi có thể thực hiện lại truy vấn."",""status"":200}",True
2,Level 4: Super Hard,So sánh sự khác biệt về mục tiêu và nội dung giữa môn SE214 và môn PE002.,"Môn SE214: Học phần này trình bày các kiến thức chuyên sâu về các phương pháp, qui trình phát triển phần mềm mới, tiên tiến như RUP, Agile, XP, Scrum. Trang bị các kiến thức chuyên sâu về đặc tả và cộng nghệ... VS Môn PE002: Chương trình môn học giáo dục thể chất (GDTC) nhằm trang bị kiến thức, kỹ năng vận động cơ bản, hình thành thói quen tập luyện thể dục thể thao (TDTT) để nâng cao sức khỏe, phát triển thể lực, tầm vóc...",Cross-document semantic reasoning (RAG).,,,,"{""data"":""**So sánh mục tiêu và nội dung của hai môn học SE214 – “Công nghệ phần mềm chuyên sâu” và PE002 – “Giáo dục thể chất 2”**\n\n| Khía cạnh | SE214 – Công nghệ phần mềm chuyên sâu | PE002 – Giáo dục thể chất 2 |\n|-----------|---------------------------------------|-----------------------------|\n| **Mã môn / Khoa** | SE214 – Khoa CNPM (Công nghệ phần mềm) | PE002 – Khoa PĐTĐH (Phát triển thể chất và Đào tạo Đại học) |\n| **Số tín chỉ** | 3 LT + 1 TH (tổng 4 tín chỉ) | 0 LT + 0 TH (không tính tín chỉ) |\n| **Loại môn** | CN (công nghệ) | TC (thể chất) |\n| **Mục tiêu chính** | • Trang bị kiến thức chuyên sâu về các phương pháp, quy trình phát triển phần mềm hiện đại (RUP, Agile, XP, Scrum).<br>• Nâng cao khả năng phân tích, thiết kế, đặc tả và triển khai dự án phần mềm.<br>• Đào tạo sinh viên có thể quản lý và thực hiện dự án phần mềm một cách chuyên nghiệp. | • Trang bị kiến thức và kỹ năng vận động cơ bản.<br>• Hình thành thói quen tập luyện thể dục thể thao.<br>• Nâng cao sức khỏe, phát triển thể lực, hoàn thiện nhân cách và kỹ năng xã hội. |\n| **Nội dung chính** | • Các quy trình phát triển phần mềm tiên tiến (RUP, Agile, XP, Scrum).<br>• Kỹ thuật đặc tả yêu cầu và công nghệ phần mềm.<br>• Kiến thức liên quan tới quản lý và triển khai dự án phần mềm.<br>• Thực hành thiết lập, quản lý và triển khai dự án phần mềm thực tế. | • Kiến thức cơ bản về giáo dục thể chất và vận động.<br>• Các bài tập, hoạt động thể thao giúp rèn luyện thể lực.<br>• Phát triển thói quen luyện tập thường xuyên.<br>• Đánh giá và cải thiện sức khỏe, thể lực, và tinh thần. |\n| **Quan hệ (điều kiện học trước, môn tương đồng)** | – Điều kiện học trước: Nhập môn Công nghệ phần mềm (SE104), Nhập môn lập trình (IT001), Cấu trúc dữ liệu và giải thuật (IT003).<br>– Không có môn “tương đồng” được liệt kê trong dữ liệu. | – Không có điều kiện học trước được liệt kê.<br>– Môn “tương đồng”: Giáo dục thể chất (PE012). |\n| **Đánh giá thực tế** | Là một môn chuyên ngành, yêu cầu sinh viên đã có nền tảng lập trình và kiến thức cơ bản về công nghệ phần mềm. | Là môn giáo dục chung, không tính tín chỉ, nhằm nâng cao sức khỏe và kỹ năng sống cho mọi sinh viên. |\n\n### Tổng kết\n\n- **Mục tiêu**: SE214 tập trung vào kiến thức và kỹ năng chuyên sâu trong phát triển phần mềm, hướng tới việc quản lý và triển khai dự án công nghệ. PE002 lại hướng tới việc cải thiện sức khỏe, thể lực và phát triển nhân cách thông qua hoạt động thể chất.\n- **Nội dung**: SE214 bao gồm các phương pháp, quy trình, công cụ và quản lý dự án phần mềm; PE002 bao gồm các kiến thức cơ bản về vận động, bài tập thể dục và thói quen luyện tập.\n- **Định vị trong chương trình**: SE214 là môn chuyên ngành có tín chỉ, yêu cầu tiền đề kiến thức; PE002 là môn giáo dục thể chất không tính tín chỉ, không yêu cầu tiền đề và dành cho tất cả sinh viên. \n\nNhư vậy, hai môn này hoàn toàn khác nhau về **đối tượng học**, **mục tiêu đào tạo**, **nội dung giảng dạy** và **đánh giá** trong chương trình học."",""status"":200}",True
3,Level 4: Super Hard,Tìm các môn thuộc khoa MMT&TT có đề cập đến 'framework' trong mô tả và yêu cầu ít nhất một môn tiên quyết.,"Môn NT213 là một ví dụ (Khoa: MMT&TT, Mô tả: Môn học này cung cấp kiến thức tổng quan về hack ứng dụng Web. Bên cạnh đó, sinh viên sẽ nắm bắt được các kỹ thuật bảo mật như: thu thập thông tin, xác nhận đầu vào tại server side, bảo mật cho client-side framework. Ngoài ra, môn học cũng cung cấp kiến thức về Malware trên nền web)",Hybrid KG + RAG query.,,,,"{""data"":""**Các môn học thuộc khoa MMT&TT (Mạng máy tính & Truyền thông) mà mô tả có chứa từ “framework” và có ít nhất một môn học tiên quyết**  \n\n| Mã môn | Tên môn | Mô tả (có “framework”) | Điều kiện tiên quyết |\n|--------|----------|------------------------|----------------------|\n| **NT213** | Bảo mật web và ứng dụng | “…bảo mật cho **client‑side framework**. …” | *Lập trình ứng dụng web* (NT208) |\n| **NT208** | Lập trình ứng dụng web | “Phát triển ứng dụng web dựa trên **framework** mã nguồn mở…” | *Lập trình hướng đối tượng* (IT002)  &  *Cơ sở dữ liệu* (IT004) |\n| **NT109** | Lập trình ứng dụng mạng | “MVC **framework** và các framework thông dụng: Struts/Spring…” | *Cơ sở dữ liệu* (IT004)  &  *Lập trình mạng căn bản* (NT106) |\n\n### Tóm tắt nhanh\n- **NT213 – Bảo mật web và ứng dụng**: Tập trung vào kỹ thuật bảo mật Web, trong đó có phần đề cập tới bảo mật cho các framework phía client. Yêu cầu sinh viên đã hoàn thành môn **Lập trình ứng dụng web (NT208)**.\n- **NT208 – Lập trình ứng dụng web**: Giới thiệu cách phát triển ứng dụng Web dựa trên các framework mã nguồn mở (ví dụ: Spring, Struts, …). Sinh viên phải có nền tảng **Lập trình hướng đối tượng** và **Cơ sở dữ liệu**.\n- **NT109 – Lập trình ứng dụng mạng**: Nội dung bao gồm MVC framework và một số framework phổ biến như Struts, Spring. Yêu cầu kiến thức về **Cơ sở dữ liệu** và **Lập trình mạng căn bản**.\n\nNếu bạn cần thông tin chi tiết hơn (số tín chỉ, loại môn, hoặc các môn tương đồng), hãy cho mình biết nhé!"",""status"":200}",True
4,Level 2: Medium,"Để học môn DS302, sinh viên cần hoàn thành môn tiên quyết nào?",MA005,Single-hop relationship. KG is preferred.,,,,"{""data"":""Chào bạn,\n\nĐối với môn **Phân tích thống kê đa biến (mã DS302)**, hệ thống đã ghi rõ một điều kiện tiên quyết duy nhất:\n\n**✅ ĐIỀU KIỆN TIÊN QUYẾT:** **Xác suất thống kê (MA005)**  \n\nVì vậy, để đăng ký học DS302, sinh viên cần **hoàn thành (hoặc đang học) môn Xác suất thống kê – mã MA005** trước. Môn này cung cấp các kiến thức nền tảng về lý thuyết xác suất và thống kê mà DS302 sẽ mở rộng sang phân tích đa biến, các kỹ thuật như ANOVA, phân tích nhân tố, phân cụm, và việc sử dụng phần mềm thống kê (SPSS, R).\n\nNếu bạn đã học hoặc đang học MA005, bạn đã đáp ứng đủ điều kiện tiên quyết để học DS302. Nếu chưa, hãy đăng ký MA005 trước khi lên kế hoạch học DS302.\n\nChúc bạn học tập hiệu quả! 🚀"",""status"":200}",True
5,Level 4: Super Hard,"Để học môn JAN07, tôi cần phải hoàn thành lộ trình các môn học nào từ trước (liệt kê tất cả các môn tiên quyết liên quan)?","JAN04, JAN02, JAN06, JAN03, JAN05, JAN01",Full graph traversal (Prerequisite Tree).,,,,"{""data"":""Chào bạn! Dựa trên **cơ sở dữ liệu thực tế** hiện có, để đăng ký môn **Tiếng Nhật 7 (JAN07)** bạn cần hoàn thành các môn học tiên quyết sau, theo thứ tự **từ trước tới sau**:\n\n| Thứ tự | Mã môn | Tên môn | Ghi chú |\n|--------|--------|---------|----------|\n| 1 | **JAN05** | Tiếng Nhật 5 | Đây là môn **tiên quyết** trực tiếp của JAN06. |\n| 2 | **JAN06** | Tiếng Nhật 6 | Được coi là **tiên quyết** trực tiếp của JAN07. |\n| 3 | **JAN07** | Tiếng Nhật 7 | Môn bạn muốn học. |\n\n### Chi tiết quan hệ\n\n- **JAN07** → **Điều kiện tiên quyết:** **Tiếng Nhật 6 (JAN06)**\n- **JAN06** → **Điều kiện tiên quyết:** **Tiếng Nhật 5 (JAN05)**\n- **JAN05** → **Điều kiện tiên quyết:** **Tiếng Nhật 4 (JAN04)** (môn này **không có trong dữ liệu hiện tại** nên mình không thể cung cấp thêm thông tin chi tiết).\n\n### Kết luận\n\nĐể đáp ứng đầy đủ các yêu cầu **tiên quyết** cho JAN07, bạn ít nhất phải:\n\n1. Hoàn thành **Tiếng Nhật 5 (JAN05)**  \n2. Sau đó hoàn thành **Tiếng Nhật 6 (JAN06)**  \n\nSau khi hai môn trên được tích lũy thành công, bạn sẽ đủ điều kiện để đăng ký **Tiếng Nhật 7 (JAN07)**.\n\n> **Lưu ý:** Nếu bạn muốn biết chi tiết về **Tiếng Nhật 4 (JAN04)** – môn tiên quyết của JAN05 – hiện hệ thống chưa cập nhật thông tin quan hệ cho môn này. Bạn có thể liên hệ với phòng đào tạo hoặc tra cứu trong catalogue môn học để biết thêm yêu cầu.\n\nChúc bạn học tập hiệu quả và tiến bộ nhanh trong hành trình tiếng Nhật! 🚀"",""status"":200}",True
6,Level 4: Super Hard,So sánh sự khác biệt về mục tiêu và nội dung giữa môn NT215 và môn IE101.,"Môn NT215: Trong chương trình thực tập cuối khóa sinh viên phải đến thực tập tại các công ty, đơn vị sự nghiệp trong lĩnh vực để làm quen với môi trường thực tế của nghề nghiệp; nắm bắt các công việc; học hỏi ki... VS Môn IE101: Môn học cung cấp một cái nhìn tổng quan về ngành Công nghệ Thông tin, các chủ đề phổ biến trong CNTT. Môn học mô tả mối quan hệ giữa CNTT với các ngành liên quan, môn học có tính khai tâm và giúp sinh...",Cross-document semantic reasoning (RAG).,,,,"{""data"":""**So sánh mục tiêu và nội dung của hai môn học**\n\n| Tiêu chí | **NT215 – Thực tập doanh nghiệp** | **IE101 – Cơ sở hạ tầng công nghệ thông tin** |\n|----------|-----------------------------------|-----------------------------------------------|\n| **Mã môn / Loại môn** | NT215 – TTTN (Thực tập tốt nghiệp) | IE101 – CSN (Cơ sở) |\n| **Khoa** | MMT&TT (Quản trị kinh doanh & Truyền thông) | KTTT (Khoa học và Công nghệ Thông tin) |\n| **Tín chỉ** | 2 LT, 0 TH | 2 LT, 1 TH |\n| **Mục tiêu (định hướng)** | - Đưa sinh viên ra môi trường thực tế (công ty, đơn vị sự nghiệp) ở giai đoạn cuối chương trình.<br>- Giúp sinh viên làm quen với quy trình, công việc và văn hoá doanh nghiệp trong lĩnh vực đã chọn.<br>- Học hỏi kinh nghiệm thực tiễn, rèn luyện kỹ năng giải quyết tình huống phát sinh trong công việc chuyên môn.<br>- Đánh giá khả năng áp dụng kiến thức đã học vào thực tiễn. | - Cung cấp cho sinh viên một **cái nhìn tổng quan** về ngành Công nghệ Thông tin.<br>- Giới thiệu các **chủ đề phổ biến** và mối quan hệ của CNTT với các ngành liên quan.<br>- Phát triển nhận thức “khai tâm” về vai trò, tầm quan trọng và phạm vi ứng dụng của CNTT trong các bối cảnh đa dạng.<br>- Xây dựng nền tảng kiến thức nền tảng để sinh viên hiểu được các thành phần cơ bản của hạ tầng CNTT (phần cứng, mạng, hệ thống, dịch vụ). |\n| **Nội dung (các chủ đề chính)** | - **Thực tập tại doanh nghiệp**: lên kế hoạch, thực hiện, báo cáo.<br>- **Quan sát và thực hiện** các quy trình, dự án, hoặc công việc thực tế trong lĩnh vực chuyên môn.<br>- **Ghi nhận, phân tích** các tình huống, vấn đề phát sinh và đề xuất giải pháp.<br>- **Báo cáo** (bản tóm tắt, nhật ký, báo cáo cuối kỳ) và **đánh giá** kết quả thực tập.<br>- Không có phần lý thuyết trong lớp; học tập chủ yếu qua thực tiễn. | - **Giới thiệu tổng quan** về hạ tầng CNTT: phần cứng máy tính, hệ thống lưu trữ, mạng máy tính, trung tâm dữ liệu.<br>- **Kiến trúc hệ thống**: các thành phần, mô hình client‑server, cloud computing cơ bản.<br>- **Mối quan hệ** của CNTT với các lĩnh vực khác (kinh doanh, truyền thông, khoa học…).<br>- **Khái niệm “khai tâm”**: nhận thức vai trò chiến lược của CNTT trong xã hội và doanh nghiệp.<br>- **Cơ bản về an ninh, quản trị** hạ tầng (đưa ra nền tảng cho các môn chuyên sâu sau này). |\n| **Hình thức học** | Thực tập thực tế tại doanh nghiệp (2 tín chỉ LT – thường là các buổi làm việc tại nơi thực tập). Không có giờ lý thuyết hoặc thực hành trong lớp. | Giảng dạy kết hợp lý thuyết (1 tín chỉ TH) và thực hành (2 tín chỉ LT), thường có bài giảng, thảo luận, bài tập thực hành trên môi trường mô phỏng hoặc thực tế. |\n| **Kết quả mong đợi** | - Sinh viên có **kinh nghiệm thực tiễn** và hiểu rõ môi trường làm việc thực tế.<br>- Phát triển kỹ năng mềm (giao tiếp, làm việc nhóm, giải quyết vấn đề).<br>- Có **bản báo cáo thực tập** chứng minh năng lực. | - Sinh viên nắm được **cấu trúc và chức năng** của hạ tầng CNTT.<br>- Có khả năng **đánh giá** vai trò của CNTU trong các lĩnh vực khác.<br>- Sẵn sàng tiếp nhận các môn chuyên sâu hơn (ví dụ: mạng, an ninh, hệ thống thông tin). |\n\n### Tổng kết\n- **Mục tiêu**: NT215 hướng tới việc **đưa sinh viên vào thực tế doanh nghiệp** để rèn luyện kỹ năng nghề nghiệp; IE101 tập trung vào việc **định vị và cung cấp nền tảng kiến thức** về hạ tầng CNTT, giúp sinh viên hiểu vai trò chiến lược của công nghệ trong mọi lĩnh vực.\n- **Nội dung**: NT215 chủ yếu là **công việc thực tế, quan sát, báo cáo**; IE101 là **giảng dạy lý thuyết tổng quan, khái niệm, mối quan hệ và nền tảng kỹ thuật**.\n- **Kết quả cuối khóa**: NT215 cho ra **kinh nghiệm thực tiễn và bản báo cáo thực tập**; IE101 cho ra **hiểu biết toàn diện về hạ tầng CNTT và chuẩn bị cho các môn chuyên sâu**.\n\nNếu bạn muốn biết thêm chi tiết về các môn học liên quan (ví dụ: các môn tiền quyết cho IE101) hay các môn tương đồng của NT215 (NT115), vui lòng cho mình biết!"",""status"":200}",True
7,Level 2: Medium,Môn ENG04 có môn học nào tương đương không?,INT005,Single-hop relationship. KG is preferred.,,,,"{""data"":""Chào bạn,\n\nTheo dữ liệu hiện tại của hệ thống, **môn Anh văn 4 (ENG04)** có các môn học được đánh dấu là *“tương đương”* như sau:\n\n| Mã môn | Tên môn | Khoa | Tín chỉ | Trạng thái | Ghi chú về quan hệ |\n|--------|----------|------|----------|------------|---------------------|\n| **INT005** | Tiếng Anh giao tiếp | HTTT | 0 LT, 0 TH | Open | Được liệt kê trong mục **[QUAN HỆ] MÔN TƯƠNG ĐƯƠNG** của ENG04 |\n| **ADENG1** | Tiếng Anh tăng cường 1 | HTTT | 0 LT, 0 TH | Open | Cũng có mục **[QUAN HỆ] MÔN TƯƠNG ĐƯƠNG: Anh văn 4 (ENG04)** |\n\n**Kết luận:**  \n- **Tiếng Anh giao tiếp (INT005)** và  \n- **Tiếng Anh tăng cường 1 (ADENG1)**  \n\nlà các môn học tương đương với **Anh văn 4 (ENG04)** theo thông tin quan hệ được lưu trong hệ thống.\n\nNếu bạn cần thêm chi tiết về nội dung giảng dạy, thời gian học hoặc muốn biết các môn tiên quyết / tiếp nối của các môn trên, cứ cho mình biết nhé!"",""status"":200}",True
8,Level 3: Hard,Tóm tắt nội dung chính của môn Tự động hóa thiết kế vi mạch.,Tự động hóa thiết kế vi mạch là môn học chuyên ngành trong hướng nghiên cứu vi mạch. Nó cung cấp các kiến thức nền tảng trong việc nghiên cứu chuyên sâu về thiết kế vi mạch,RAG summarization.,,,,"{""data"":""**Môn “Tự động hóa thiết kế vi mạch”** hiện có trong hệ thống hai phiên bản:\n\n| Mã môn | Loại | Tín chỉ | Trạng thái | Ghi chú |\n|--------|------|----------|------------|---------|\n| **CE326** | CN | 2 LT + 1 TH | Open | Không có mô tả chi tiết trong dữ liệu hiện tại. |\n| **CE336** | CNTC | 3 LT + 1 TH | Open | Có mô tả chi tiết và được liệt kê là “môn học chuyên ngành trong hướng nghiên cứu vi mạch”. |\n\n### Nội dung chính (dựa trên CE336)\n\n> **“Tự động hóa thiết kế vi mạch”** là một môn học chuyên sâu thuộc hướng nghiên cứu vi mạch.  \n> - **Mục tiêu:** Cung cấp nền tảng kiến thức và kỹ năng tự động hoá quy trình thiết kế vi mạch, từ khâu phân tích yêu cầu tới việc sinh mã nguồn mô tả phần cứng (HDL) và tối ưu hoá thiết kế.  \n> - **Các chủ đề chính thường được đề cập:**\n| Chủ đề | Nội dung tóm tắt |\n|--------|-------------------|\n| **Giới thiệu về quy trình thiết kế vi mạch (VLSI flow)** | Các bước front‑end (specification, RTL, synthesis) và back‑end (place‑and‑route, timing closure). |\n| **Công cụ và môi trường tự động hoá** | Sử dụng các công cụ CAD (Synopsys, Cadence, Mentor) để tự động sinh RTL, kiểm tra logic, và tối ưu hoá tài nguyên. |\n| **Ngôn ngữ mô tả phần cứng (HDL)** | VHDL / Verilog – viết mã mô tả, kiểm thử (testbench), và sinh code tự động. |\n| **Thuật toán tối ưu hoá thiết kế** | Phân tích và áp dụng các thuật toán tối ưu (ví dụ: heuristic placement, routing, power‑aware synthesis). |\n| **Kiểm thử và xác nhận (verification)** | Các phương pháp verification tự động: simulation, formal verification, UVM. |\n| **Thiết kế năng lượng và hiệu năng** | Phân tích và giảm tiêu thụ năng lượng, cân bằng giữa tốc độ và diện tích. |\n| **Case study & dự án thực tế** | Áp dụng quy trình tự động hoá vào một dự án vi mạch thực tế, từ việc viết RTL tới việc generate layout cuối cùng. |\n\n### Điều kiện tiên quyết\n\n- **CE336** yêu cầu các môn nền tảng:\n  - **Thiết kế hệ thống số với HDL (CE213)**\n  - **Thiết kế luận lý số (CE118)**\n- **CE326** chỉ yêu cầu **“Thiết kế vi mạch với HDL (CE221)”** (được liệt kê trong phần “ĐIỀU KIỆN HỌC TRƯỚC”).\n\n### Khi nào nên chọn CE326 vs CE336?\n\n- **CE326**: Dành cho sinh viên muốn có một cái nhìn nhanh gọn (2 LT + 1 TH) về tự động hoá trong thiết kế vi mạch, dựa trên kiến thức đã có từ **CE221** (thiết kế vi mạch với HDL).  \n- **CE336**: Dành cho sinh viên muốn đào sâu hơn (3 LT + 1 TH), bao quát toàn bộ quy trình VLSI và các công cụ tự động hoá hiện đại; yêu cầu nền tảng rộng hơn từ **CE213** và **CE118**.\n\n### Kết luận\n\nNếu bạn đang tìm **tóm tắt nội dung** của môn “Tự động hóa thiết kế vi mạch”, nội dung chính sẽ xoay quanh **quy trình tự động hoá thiết kế vi mạch (VLSI flow), công cụ CAD, HDL, thuật toán tối ưu, và kiểm thử tự động**. Dựa vào dữ liệu hiện có, CE336 cung cấp mô tả chi tiết hơn; CE326 có cùng tên nhưng chưa có thông tin mô tả cụ thể trong hệ thống. Nếu cần thông tin chi tiết hơn cho CE326, hệ thống hiện chưa cập nhật."",""status"":200}",True
9,Level 2: Medium,"Để học môn EN001, sinh viên cần hoàn thành môn tiên quyết nào?",ENBT,Single-hop relationship. KG is preferred.,,,,"{""data"":""Chào bạn,\n\nTheo **dữ liệu thực tế** của hệ thống, môn **Anh văn 1 (mã EN001)** có một điều kiện tiên quyết duy nhất:\n\n- **Anh văn Bổ túc (mã ENBT)** – đây là môn học “bổ túc” (BT) và không tính tín chỉ (0 LT, 0 TH).\n\n**Vì vậy**, trước khi đăng ký **EN001**, sinh viên cần **hoàn thành** (hoặc được công nhận đã hoàn thành) **môn Anh văn Bổ túc (ENBT)**. Khi đã đáp ứng được điều kiện này, bạn có thể đăng ký và học môn Anh văn 1 mà không gặp trở ngại.\n\nNếu có bất kỳ thắc mắc nào khác về các môn học liên quan hoặc muốn lên kế hoạch học tập chi tiết, cứ thoải mái hỏi nhé! 😊"",""status"":200}",True
10,Level 2: Medium,"Để học môn EN002, sinh viên cần hoàn thành môn tiên quyết nào?",EN001,Single-hop relationship. KG is preferred.,,,,"{""data"":""**Môn học mục tiêu:** EN002 – Anh văn 2 (BMAV)\n\n**Điều kiện tiên quyết (Prerequisite):** Theo mục **[QUAN HỆ] ĐIỀU KIỆN TIÊN QUYẾT** trong dữ liệu của môn EN002, sinh viên phải hoàn thành (đạt kết quả tốt) môn **Anh văn 1 (EN001)** trước khi đăng ký học EN002.\n\n> *“[QUAN HỆ] ĐIỀU KIỆN TIÊN QUYẾT: Anh văn 1 (EN001)”*\n\nVì vậy, để được phép học **EN002 – Anh văn 2**, sinh viên cần:\n\n1. **Hoàn thành** môn **Anh văn 1 (EN001)** (4 tín chỉ LT, không có tín chỉ TH).\n2. Đảm bảo kết quả đạt yêu cầu (thông thường là “đạt” hoặc “đủ điểm” tùy quy định của trường).\n\nCác môn **Anh văn 1 (EN004)** và **Anh văn 1 (ENG01)** chỉ được liệt kê là **môn tương đồng** của EN002, chúng không được ghi là điều kiện tiên quyết, nên không bắt buộc để học EN002.\n\nNếu bạn đã hoàn thành EN001, bạn có thể đăng ký EN002 ngay lập tức (điều kiện khác như trạng thái “Open” và loại môn “ĐC” hiện đang khả dụng). Nếu chưa, hãy đăng ký và hoàn thành EN001 trước."",""status"":200}",True
